,Condition,Medication,Alternate names,More common,Less common,Incidence not known,Parent links,Exact medications
67,Bipolar-Disorder,Seroquel,quetiapine,Constipatio; headach; ,"Abnormal vision; acid or sour stomach; belchin; decreased appetite; decreased strength and energy; headache; heartbur; increased appetite; increased muscle tone; increased sweating; increased weight; indigestio; sneezing; stomach discomfort, upset, or pain; runny nos; ",,"['https://www.webmd.com/drugs/2/drug-4718-8274/seroquel/details', 'https://www.webmd.com/drugs/2/drug-148614-963/seroquel-xr/details']","['Seroquel', 'Seroquel XR']"
68,Bipolar-Disorder,Zyprexa,olanzapine,"Acid or sour stomach; back pai; belchin; change in personality; difficulty having a bowel movement (stool); discouragement; feeling sad or empty; fever; heartbur; increased appetite; increased cough; indigestio; lack of appetite; lack or loss of strength; loss of interest or pleasure; runny nos; sneezing; stomach discomfort, upset, or pain; stuffy nose; thirst; trouble sleeping; trouble with concentrating; watering of the mouth; ","Blemishes on the skin; body aches or pain; chills; cold sweats; congestion; cough; dry ski; dryness or soreness of the throat; false or unusual sense of well-being; heavy menstrual bleedin; hoarseness; joint pain; lack of feeling or emotion; leg cramps; pain in the arms or legs; pimple; sweating; tender, swollen glands in the neck; uncaring feelings; voice change; vomitin; ",,"['https://www.webmd.com/drugs/2/drug-1699-9274/zyprexa/details', 'https://www.webmd.com/drugs/2/drug-89050-388/zyprexa-vial/details', 'https://www.webmd.com/drugs/2/drug-19876-7274/zyprexa-zydis/details', 'https://www.webmd.com/drugs/2/drug-153611-1297/zyprexa-relprevv-vial/details']","['Zyprexa', 'Zyprexa Vial', 'Zyprexa Zydis', 'Zyprexa Relprevv Vial']"
69,Bipolar-Disorder,Sarafem,fluoxetine,Decreased appetite; ,Chills or fever; joint or muscle pain; ,Cracks in the skin; loss of heat from the body; painful or prolonged erections of the penis; scaly skin; swelling of the breasts or breast soreness in both females and males; unusual milk production; ,['https://www.webmd.com/drugs/drug-19825-Sarafem+oral.aspx?drugid=19825&amp;drugname=Sarafem+oral&amp;source=0'],['Sarafem-oral']
70,Depression,Sarafem,Fluoxetine,Decreased appetite; ,Chills or fever; joint or muscle pain; ,Cracks in the skin; loss of heat from the body; painful or prolonged erections of the penis; scaly skin; swelling of the breasts or breast soreness in both females and males; unusual milk production; ,['https://www.webmd.com/drugs/drug-19825-Sarafem+oral.aspx?drugid=19825&amp;drugname=Sarafem+oral&amp;source=0'],['Sarafem-oral']
71,Depression,Zoloft,Sertraline,"Acid or sour stomach; belchin; weight los; diarrhea or loose stools; heartbur; sleepiness or unusual drowsiness; stomach or abdominal cramps, gas, or pain; trouble sleeping; ","anxiet; bladder pain; numbnes; changes in vision; cloudy urine; constipatio; difficult, burning, or painful urination; flushing or redness of the skin, with feeling of warmth or heat; frequent urge to urinate; increased appetite; pain or tenderness around the eyes and cheekbones; runny nos; ","Flushed, dry skin; fruit-like breath odor; increased hunger; increased urination; redness or other discoloration of the skin; severe sunburn; swelling of the breasts (in women); unexplained weight los; unusual secretion of milk (in women); ",['https://www.webmd.com/drugs/drug-35-Zoloft+oral.aspx?drugid=35&amp;drugname=Zoloft+oral&amp;source=0'],['Zoloft-oral']
72,Depression,Celexa,Citalopram,Decrease in sexual desire or ability; sleepiness or unusual drowsiness; ,"Body aches or pain; change in sense of taste; gas; headach; heartbur; increased sweating; increased yawning; loss of voice; pain in the muscles or joints; sneezing; runny nos; tingling, burning, or prickly feelings on the skin; tooth grinding; unusual increase or decrease in weight; watering of the mouth; ","Bruising; inability to sit still; large, flat, blue or purplish patches in the skin; need to keep moving; uncontrolled eye movements; ",['https://www.webmd.com/drugs/drug-8603-Celexa+oral.aspx?drugid=8603&amp;drugname=Celexa+oral&amp;source=0'],['Celexa-oral']
73,Depression,Lexapro,Escitalopram,"Constipatio; decreased interest in sexual intercourse; diarrhe; dry mouth; ejaculation delay; gas in the stomach; heartbur; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; sleepiness or unusual drowsiness; trouble sleeping; ","Bloated or full feeling; numbnes; chills; cough; decreased appetite; excess air or gas in the stomach or intestines; fever; general feeling of discomfort or illness; increased sweating; joint pain; muscle aches and pains; not able to have an orgasm; pain in the neck or shoulders; pain or tenderness around the eyes and cheekbones; passing gas; runny nos; shivering; sneezing; sore throa; stuffy nose; tightness of the chest; tooth problems; trouble breathing; unusual dreams; unusual drowsiness, dullness, tiredness, weakness or feeling of sluggishness; yawning; ",,['https://www.webmd.com/drugs/drug-63990-Lexapro+oral.aspx?drugid=63990&amp;drugname=Lexapro+oral&amp;source=0'],['Lexapro-oral']
74,Depression,Effexor,venlafaxine,"Abnormal dreams; chills; constipatio; decrease in sexual desire or ability; diarrhea; dry mouth; heartbur; increased sweating; loss of appetite; nausea; stomach pain or gas; runny nos; tingling, burning, or prickly sensations; trouble sleeping; vomiting; weight los; ",Change in taste; muscle tension; yawning; ,Night sweat; ,"['https://www.webmd.com/drugs/2/drug-1836-5047/effexor-tablet/details', 'https://www.webmd.com/drugs/2/drug-4896-1047/effexor-xr/details']","['Effexor tablet', 'Effexor XR']"
75,Depression,Cymbalta,Duloxetine,Body aches or pain; cough; difficulty having a bowel movement (stool); dry mouth; ear congestion; frequent urinatio; headach; lack or loss of strength; loss of appetite; loss of voice; muscle aches; nause; sleepiness or unusual drowsiness; sneezing; sore throa; runny nos; sweating increased; trouble sleeping; weight los; ,"Abnormal orgasm; acid or sour stomach; belchin; numbnes; change in taste; change or problem with discharge of semen; decreased interest in sexual intercourse; difficulty with moving; feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest; heartbur; inability to have or keep an erection; indigestio; joint pain; longer than usual time to ejaculation of semen; loose stools; loss in sexual ability, desire, drive, or performance; loss of taste; muscle aching or cramping; muscle pains or stiffness; shakiness in the legs, arms, hands, or feet; stomach discomfort or upset; sudden sweating; swollen joints; trembling or shaking of the hands or feet; ",,['https://www.webmd.com/drugs/drug-91491-Cymbalta+oral.aspx?drugid=91491&amp;drugname=Cymbalta+oral&amp;source=0'],['Cymbalta-oral']
76,Depression,WellbutrinXL,Bupropion,Constipatio; decrease in appetite; dizziness; increased sweating; stomach pain; trembling; weight los; ,Blurred vision; change in sense of taste; drowsiness; frequent need to urinate; sore throa; unusual feeling of well-being; ,,['https://www.webmd.com/drugs/drug-76851-Wellbutrin+XL+oral.aspx?drugid=76851&amp;drugname=Wellbutrin+XL+oral&amp;source=0'],['Wellbutrin-XL-oral']
77,Depression,RemeronSoltab,Mirtazapine,Constipatio; dizzines; drowsiness; dry mouth; increased appetite; weight gain; ,Abdominal or stomach pain; abnormal dreams; back pai; dizziness or fainting when getting up suddenly from a lying or sitting position; increased need to urinate; increased sensitivity to touch; increased thirst; low blood pressur; muscle pain; nause; sense of constant movement of self or surroundings; trembling or shaking; vomitin; weakness; ,,['https://www.webmd.com/drugs/drug-13707-Remeron+oral.aspx?drugid=13707&amp;drugname=Remeron+oral&amp;source=0'],['Remeron-oral']
78,Depression,Abilify,Aripiprazole ,"Anxiet; belchin; blurred vision; difficulty having a bowel movement; dry mouth; fear; fever; heartbur; hyperventilation; inability to sit still; indigestio; irritability; lightheadedness; need to keep moving; nervousness; rash; runny nos; shaking; sore throa; stomach discomfort, upset, or pain; trouble sleeping; weight gain; ","Accidental injury; bloatin; body aches or pain; congestion; coughing; difficulty with moving; dryness or soreness of the throat; hoarseness; increased appetite; increased salivation; joint pain; muscle aching or cramping; muscle pains or stiffness; rapid weight gain; sneezing; stuffy nose; swollen joints; tender, swollen glands in the neck; tingling of the hands or feet; tremor; unusual weight gain or loss; voice changes; ",,"['https://www.webmd.com/drugs/2/drug-64439-4274/abilify/details', 'https://www.webmd.com/drugs/2/drug-176467-1979/abilify-mycite/details', 'https://www.webmd.com/drugs/2/drug-146495-877/abilify-vial/details', 'https://www.webmd.com/drugs/2/drug-144686-1528/abilify-discmelt/details', 'https://www.webmd.com/drugs/2/drug-163617-876/abilify-maintena-suspension-er-vial/details']","['Abilify', 'Abilify MyCite', 'Abilify Solution', 'Abilify Discmelt Tablet,disintegrating', 'Abilify Maintena Suspension,Extended Release vial']"
79,Depression,Seroquel,Quetiapine,Constipatio; headach; ,"Abnormal vision; acid or sour stomach; belchin; decreased appetite; decreased strength and energy; headache; heartbur; increased appetite; increased muscle tone; increased sweating; increased weight; indigestio; sneezing; stomach discomfort, upset, or pain; runny nos; ",,"['https://www.webmd.com/drugs/2/drug-4718-8274/seroquel/details', 'https://www.webmd.com/drugs/2/drug-148614-963/seroquel-xr/details']","['Seroquel', 'Seroquel XR']"
80,Depression,Nardil,Phenelzine,"Constipatio; decreased interest in sexual intercourse; diarrhe; dry mouth; inability to have or keep an erection; indigestio; loss in sexual ability, desire, drive, or performance; loss of appetite; not able to have an orgasm; passing of gas; sleeplessnes; stomach pain, fullness, or discomfort; trouble sleeping; unable to sleep; unusually deep sleep; unusually long duration of sleep; weight gain; ","Blindness; blurred vision; decreased vision; eye pai; redness, swelling, or soreness of the tongue; tearing; ",,['https://www.webmd.com/drugs/drug-9353-Nardil+oral.aspx?drugid=9353&amp;drugname=Nardil+oral&amp;source=0'],['Nardil-oral']
81,Depression,Parnate,Tranylcypromine,,,"Blurred vision; constipatio; continuing ringing or buzzing or other unexplained noise in the ears; decreased interest in sexual intercourse; diarrhe; drowsiness; dry mouth; hair los; hearing los; hives</a or <a data-ga-action=""welts"" data-ga-category=""Content Link"" href=""/cg/angioedema.html""welts; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of appetite; memory los; muscle spasm; redness of the skin; stomach pain; unable to sleep; weakness; weight los; ",['https://www.webmd.com/drugs/drug-6965-Parnate+oral.aspx?drugid=6965&amp;drugname=Parnate+oral&amp;source=0'],['Parnate-oral']
82,Depression,Emsam,Selegiline patch ,"Dry ski; hives; itching, scaling, severe redness, soreness, or swelling of the skin; runny nos; sneezing; stuffy nose; trouble sleeping; ","Acid or sour stomach; back pai; belchin; bloated or full feeling; body aches or pain; congestion; cough; difficulty having a bowel movement (stool); difficulty with moving; dryness or soreness of the throat; excess air or gas in the stomach or intestines; heartbur; hoarseness; indigestio; joint pain; leg cramps; muscle aching or cramping; muscle pains or stiffness; passing gas; stomach discomfort, upset, or pain; swollen joints; tender, swollen glands in the neck; tooth problems; voice changes; ",,['https://www.webmd.com/drugs/drug-95354-Emsam+transdermal.aspx?drugid=95354&amp;drugname=Emsam+transdermal&amp;source=0'],['Emsam-transdermal']
83,Schizophrenia,Navane,Thiothixene ,,,"Absent, missed, or irregular menstrual periods; anxiet; constipatio; decreased interest in sexual intercourse; diarrhe; dry mouth; extreme thirst; welt; hyperventilation; inability to have or keep an erection; increased appetite; increased sensitivity of the skin to sunlight; increased sweating; increased thirst; increased weight; irritability; loss in sexual ability, desire, drive, or performance; menstrual changes; nervousness; redness or other discoloration of the skin; severe sunburn; sleeplessnes; stopping of menstrual bleeding; stuffy nose; swelling of the breasts or unusual milk production; trouble with sleeping; unable to sleep; watering of mouth; ","['https://www.webmd.com/drugs/2/drug-6923-9034/navane-capsule/details', 'https://www.webmd.com/drugs/2/drug-75361/navane-solution-reconstituted-recon-soln/details']","['Navane capsule', 'Navane Solution, Reconstituted (Recon Soln)']"
84,Schizophrenia,Abilify,Aripiprazole,"Anxiet; belchin; blurred vision; difficulty having a bowel movement; dry mouth; fear; fever; heartbur; hyperventilation; inability to sit still; indigestio; irritability; lightheadedness; need to keep moving; nervousness; rash; runny nos; shaking; sore throa; stomach discomfort, upset, or pain; trouble sleeping; weight gain; ","Accidental injury; bloatin; body aches or pain; congestion; coughing; difficulty with moving; dryness or soreness of the throat; hoarseness; increased appetite; increased salivation; joint pain; muscle aching or cramping; muscle pains or stiffness; rapid weight gain; sneezing; stuffy nose; swollen joints; tender, swollen glands in the neck; tingling of the hands or feet; tremor; unusual weight gain or loss; voice changes; ",,"['https://www.webmd.com/drugs/2/drug-64439-4274/abilify/details', 'https://www.webmd.com/drugs/2/drug-176467-1979/abilify-mycite/details', 'https://www.webmd.com/drugs/2/drug-146495-877/abilify-vial/details', 'https://www.webmd.com/drugs/2/drug-144686-1528/abilify-discmelt/details', 'https://www.webmd.com/drugs/2/drug-163617-876/abilify-maintena-suspension-er-vial/details']","['Abilify', 'Abilify MyCite', 'Abilify Solution', 'Abilify Discmelt Tablet,disintegrating', 'Abilify Maintena Suspension,Extended Release vial']"
85,Schizophrenia,Saphris,Asenapine,Constipatio; sleepiness or unusual drowsiness; trouble sleeping; unusually deep sleep; unusually long duration of sleep; ,"Acid or sour stomach; belchin; depressio; difficulty with moving; dry mouth; fear or nervousness; heartbur; increased appetite; increased watering of the mouth; increased weight; indigestio; irritability; muscle pain or stiffness; pain in the arms or legs; pain in the joints; stomach discomfort, upset, or pain; toothach; ",,"['https://www.webmd.com/drugs/2/drug-152902-1254/saphris-tablet/details', 'https://www.webmd.com/drugs/2/drug-162761-1254/saphris-tablet/details']","['Saphris Tablet, Sublingual', 'Saphris (black cherry) Tablet, Sublingual']"
86,Schizophrenia,Versacloz,Clozapine,Acid or sour stomach; belchin; feeling of constant movement of self or surroundings; heartbur; relaxed and calm sensation of spinning; sleepiness; ,"Blurred or loss of vision; change or problem with discharge of semen; disturbed color perception; double vision; halos around lights; inability to sit still; increase in body movements; muscle ache or pain; muscle weakness; night blindness; nightmare; overbright appearance of lights; pain in the back, neck, or legs; pain in the chest below the breastbone; severe muscle stiffness; sore tongue; stuffy nose; tunnel vision; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; ","Blistering, peeling, or loosening of the skin; hive; increased sensitivity of the skin to sunlight; painful or prolonged erection of the penis; red skin lesions, often with a purple center; red, irritated eyes; reddening of the skin, especially around the ears; severe stomach pain; severe sunburn; sores, welting, or blisters; swelling of the eyes, face, or inside of the nose; swelling of the salivary glands; ",['https://www.webmd.com/drugs/drug-165442-Versacloz+oral.aspx?drugid=165442&amp;drugname=Versacloz+oral&amp;source=0'],['Versacloz-oral']
87,Schizophrenia,Fanapt,Iloperidone,Diarrhe; sleepiness or unusual drowsiness; ,Abdominal or stomach discomfort; not able to ejaculate semen; rash; stuffy nose; ,,['https://www.webmd.com/drugs/drug-153413-Fanapt+oral.aspx?drugid=153413&amp;drugname=Fanapt+oral&amp;source=0'],['Fanapt-oral']
88,Schizophrenia,Latuda,Lurasidone,"Anxiet; belchin; drowsiness; dry mouth; heartbur; hyperventilation; indigestio; irritability; relaxed and calm feeling; sleepiness or unusual drowsiness; stomach discomfort, upset, or pain; trouble sleeping; unusually deep sleep; unusually long duration of sleep; ",Abnormal dreams; back pai; blurred vision; burning feeling in the chest or stomach; decreased appetite; diarrhe; feeling of constant movement of self or surroundings; indigestion; sensation of spinning; sweating; tenderness in the stomach area; watering of mouth and drooling; ,,['https://www.webmd.com/drugs/drug-155134-Latuda+oral.aspx?drugid=155134&amp;drugname=Latuda+oral&amp;source=0'],['Latuda-oral']
89,Schizophrenia,Zyprexa,Olanzapine,"Acid or sour stomach; back pai; belchin; change in personality; difficulty having a bowel movement (stool); discouragement; feeling sad or empty; fever; heartbur; increased appetite; increased cough; indigestio; lack of appetite; lack or loss of strength; loss of interest or pleasure; runny nos; sneezing; stomach discomfort, upset, or pain; stuffy nose; thirst; trouble sleeping; trouble with concentrating; watering of the mouth; ","Blemishes on the skin; body aches or pain; chills; cold sweats; congestion; cough; dry ski; dryness or soreness of the throat; false or unusual sense of well-being; heavy menstrual bleedin; hoarseness; joint pain; lack of feeling or emotion; leg cramps; pain in the arms or legs; pimple; sweating; tender, swollen glands in the neck; uncaring feelings; voice change; vomitin; ",,"['https://www.webmd.com/drugs/2/drug-1699-9274/zyprexa/details', 'https://www.webmd.com/drugs/2/drug-89050-388/zyprexa-vial/details', 'https://www.webmd.com/drugs/2/drug-19876-7274/zyprexa-zydis/details', 'https://www.webmd.com/drugs/2/drug-153611-1297/zyprexa-relprevv-vial/details']","['Zyprexa', 'Zyprexa Vial', 'Zyprexa Zydis', 'Zyprexa Relprevv Vial']"
90,Schizophrenia,Invega,Paliperidone ,"Absent, missed, or irregular menstrual periods; difficulty having a bowel movement; fear or nervousness; headach; inability to sit still; nause; need to keep moving; sleepiness or unusual drowsiness; stopping of menstrual bleeding; vomiting; weight gain; ",Back pai; belchin; blurred vision; changes in appetite; dry mouth; fever; heartbur; indigestio; lack or loss of strength; muscle aches; sore throa; stomach discomfort or upset; runny nos; swelling or soreness of the breasts in both females and males; swollen tongue; unexpected or excess milk flow from breasts; upper stomach pain; ,Sleepwalking; ,"['https://www.webmd.com/drugs/2/drug-146745-882/invega/details', 'https://www.webmd.com/drugs/2/drug-168884-1706/invega-trinza-syringe/details', 'https://www.webmd.com/drugs/2/drug-152807-1221/invega-sustenna-syringe/details']","['Invega', 'Invega Trinza Syringe', 'Invega Sustenna Syringe']"
91,Schizophrenia,Risperdal,Risperidone ,Diarrhe; heartbur; increased dream activity; increased length of sleep; sore throa; runny nos; ,"Absent, missed, or irregular menstrual periods; body aches or pain; breast swelling or soreness; dandruf; darkening of skin color; decreased interest in sexual intercourse; dry skin; ear congestion; inability to have or keep an erection; increase in body movements; increased watering of the mouth; joint pain; loss in sexual ability, desire, drive, or performance; loss of voice; oily skin; pain or tenderness around the eyes and cheekbones; sneezing; stopping of menstrual bleeding; toothach; unusual breast milk production; weight los; ",Acn; change in taste; enlargement of the penis or testes; growth of pubic hair; loss of taste; rapid increase in height; sleepwalking; thinning or loss of hair; ,"['https://www.webmd.com/drugs/2/drug-9846-2034/risperdal/details', 'https://www.webmd.com/drugs/2/drug-75142-3274/risperdal-m-tab/details', 'https://www.webmd.com/drugs/2/drug-77667-2274/risperdal-consta-syringe/details']","['Risperdal', 'Risperdal M-TAB', 'Risperdal Consta Syringe']"
92,Schizophrenia,Seroquel,Quetiapine,Constipatio; headach; ,"Abnormal vision; acid or sour stomach; belchin; decreased appetite; decreased strength and energy; headache; heartbur; increased appetite; increased muscle tone; increased sweating; increased weight; indigestio; sneezing; stomach discomfort, upset, or pain; runny nos; ",,"['https://www.webmd.com/drugs/2/drug-4718-8274/seroquel/details', 'https://www.webmd.com/drugs/2/drug-148614-963/seroquel-xr/details']","['Seroquel', 'Seroquel XR']"
93,Schizophrenia,Geodon,Ziprasidone,"Acid or sour stomach; belchin; constipatio; diarrhe; heartbur; indigestio; lack or loss of strength; nause; rash; stomach discomfort, upset, or pain; weakness; weight gain; ","Blistering, crusting, irritation, itching, or reddening of the skin; numbnes; change in vision; cracked, dry, or scaly skin; depressio; difficulty with moving; dry mouth; increase in salivation; itching or reddening of the skin; joint pain; loss of appetite; muscle ache; muscle pains or stiffness; muscle tightness; stuffy nose; swelling; swollen joints; vomitin; weakness of the arms and legs; weight los; ",,"['https://www.webmd.com/drugs/2/drug-20575-6274/geodon/details', 'https://www.webmd.com/drugs/2/drug-63981-5274/geodon-vial/details']","['Geodon', 'Geodon Vial']"
94,Bipolar-Disorder,Depakote,Divalproex,"Acid or sour stomach; belching; body aches or pain; change in vision; congestion; continuing ringing or buzzing or other unexplained noise in the ears; hair loss or thinning of the hair; hearing loss; heartburn; impaired vision; lack or loss of strength; loss of memory; problems with memory; rash; seeing double; tender, swollen glands in the neck; trouble with swallowing; uncontrolled eye movements; voice changes; weight gain; weight loss","Absent, missed, or irregular menstrual periods; back pain; burning, dry, or itching eyes; change in taste or bad unusual or unpleasant (after) taste; coin-shaped lesions on the skin; cough producing mucus; cramps; dandruff; discharge or excessive tearing; dry skin; earache; excess air or gas in the stomach or intestines; eye pain; feeling of constant movement of self or surroundings; full feeling; heavy bleeding; increased appetite; itching of the vagina or genital area; itching skin; loss of bowel control; neck pain; oily skin; pain; pain during sexual intercourse; pain or tenderness around the eyes and cheekbones ; passing gas; rash with flat lesions or small raised lesions on the skin; redness or swelling in the ear; redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid; redness, swelling, or soreness of the tongue; sensation of spinning; sneezing; stiff neck; stopping of menstrual bleeding; thick, white vaginal discharge with no odor or with a mild odor",,['https://www.webmd.com/drugs/2/drug-1788/depakote-oral/details'],['Depakote-oral']
95,Bipolar-Disorder,Divalproex,Depakote,"Acid or sour stomach; belching; body aches or pain; change in vision; congestion; continuing ringing or buzzing or other unexplained noise in the ears; hair loss or thinning of the hair; hearing loss; heartburn; impaired vision; lack or loss of strength; loss of memory; problems with memory; rash; seeing double; tender, swollen glands in the neck; trouble with swallowing; uncontrolled eye movements; voice changes; weight gain; weight loss","Absent, missed, or irregular menstrual periods; back pain; burning, dry, or itching eyes; change in taste or bad unusual or unpleasant (after) taste; coin-shaped lesions on the skin; cough producing mucus; cramps; dandruff; discharge or excessive tearing; dry skin; earache; excess air or gas in the stomach or intestines; eye pain; feeling of constant movement of self or surroundings; full feeling; heavy bleeding; increased appetite; itching of the vagina or genital area; itching skin; loss of bowel control; neck pain; oily skin; pain; pain during sexual intercourse; pain or tenderness around the eyes and cheekbones ; passing gas; rash with flat lesions or small raised lesions on the skin; redness or swelling in the ear; redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid; redness, swelling, or soreness of the tongue; sensation of spinning; sneezing; stiff neck; stopping of menstrual bleeding; thick, white vaginal discharge with no odor or with a mild odor",,['https://www.webmd.com/drugs/2/drug-6000-8019/divalproex-oral/divalproex-sodium-enteric-coated-tablet-oral/details'],['divalproex-oral']
